Marker Chromosome Physical_coordinate_bp genetic_coordinate_cM
4532 Chromosome_5 9107437 23.78
4533 Chromosome_5 9118551 23.78
4534 Chromosome_5 9118561 23.78
4535 Chromosome_5 9118566 23.78
4537 Chromosome_5 9118593 23.78
4538 Chromosome_5 9118603 23.78
4539 Chromosome_5 9118606 23.78
4540 Chromosome_5 9118613 23.78
4545 Chromosome_5 9338403 23.78
4552 Chromosome_5 9426242 23.78
4553 Chromosome_5 9426258 23.78
4554 Chromosome_5 9426274 23.78
4557 Chromosome_5 9470314 23.78
4558 Chromosome_5 9470342 23.78
4559 Chromosome_5 9470355 23.78
4560 Chromosome_5 9470369 23.78
4568 Chromosome_5 9567806 23.78
4574 Chromosome_5 9620185 23.42
4577 Chromosome_5 9620263 23.78
4578 Chromosome_5 9697306 23.42
4585 Chromosome_5 9761897 23.42
4586 Chromosome_5 9761907 23.42
4588 Chromosome_5 9761939 23.42
4591 Chromosome_5 9761945 23.42
4597 Chromosome_5 9907162 23.06
4598 Chromosome_5 9907187 23.06
4600 Chromosome_5 9907201 23.06
4609 Chromosome_5 10595526 16.90
4634 Chromosome_5 10667234 16.17
4635 Chromosome_5 10667236 16.17
4638 Chromosome_5 10699561 16.53
4640 Chromosome_5 10699618 16.53
4641 Chromosome_5 10700198 16.17
4643 Chromosome_5 10700207 16.17
4644 Chromosome_5 10700216 16.17
4657 Chromosome_5 10768760 15.08
4659 Chromosome_5 10780309 15.80
4661 Chromosome_5 10905510 15.80
4662 Chromosome_5 10905522 15.80
4669 Chromosome_5 10948068 14.71
4676 Chromosome_5 11018213 15.08
4677 Chromosome_5 11018267 15.44
4678 Chromosome_5 11018269 15.44
4679 Chromosome_5 11018278 15.08
4680 Chromosome_5 11037277 15.08
4682 Chromosome_5 11264539 12.49
4684 Chromosome_5 11264558 12.49
4685 Chromosome_5 11267685 12.49
4686 Chromosome_5 11267726 12.49
4690 Chromosome_5 11499378 10.27
4692 Chromosome_5 11499395 10.27
4697 Chromosome_5 11637799 9.54
4709 Chromosome_5 11864168 9.17
4710 Chromosome_5 11864210 8.81
4711 Chromosome_5 11864237 8.81
4715 Chromosome_5 12244863 8.08
4716 Chromosome_5 12244879 8.08
4718 Chromosome_5 12313024 8.08
4719 Chromosome_5 12313043 8.08
4723 Chromosome_5 12368237 7.72
4725 Chromosome_5 12438145 6.25
4728 Chromosome_5 12438179 6.25
4732 Chromosome_5 12438204 6.25
4733 Chromosome_5 12438211 6.25
4751 Chromosome_5 12732933 4.78
4752 Chromosome_5 12732957 4.78
4753 Chromosome_5 12741078 4.78
4790 Chromosome_5 13689136 4.42
4791 Chromosome_5 13689137 4.42
4792 Chromosome_5 13689157 4.42
4793 Chromosome_5 13689175 4.42
4801 Chromosome_5 14179993 2.58
4809 Chromosome_5 14196931 2.58
4814 Chromosome_5 14246888 2.58
4816 Chromosome_5 14259491 0.00
4818 Chromosome_5 14259506 0.00
4819 Chromosome_5 14259508 0.00
4820 Chromosome_5 14259510 0.00
4821 Chromosome_5 14259513 0.00
4822 Chromosome_5 14259527 0.00
4823 Chromosome_5 14259534 0.00
4824 Chromosome_5 14259544 0.00
4826 Chromosome_5 14306389 2.58
4829 Chromosome_5 14393869 1.85
4830 Chromosome_5 14426422 2.58
4834 Chromosome_6 6774 53.53
4840 Chromosome_6 165017 52.80
4842 Chromosome_6 165082 52.80
4850 Chromosome_6 258848 52.44
4851 Chromosome_6 258849 52.44
4853 Chromosome_6 258853 52.44
4856 Chromosome_6 258857 52.44
4857 Chromosome_6 258876 52.44
4858 Chromosome_6 258880 52.44
4862 Chromosome_6 320920 1.82
4865 Chromosome_6 320934 1.82
4871 Chromosome_6 320959 1.45
4873 Chromosome_6 320975 1.45
4883 Chromosome_6 394705 52.08
4884 Chromosome_6 394707 52.08
4900 Chromosome_6 533299 52.08
4901 Chromosome_6 533308 52.08
4903 Chromosome_6 533351 52.08
4905 Chromosome_6 533368 52.08
4921 Chromosome_6 740682 3.29
4926 Chromosome_6 740702 4.77
4930 Chromosome_6 740711 4.77
4931 Chromosome_6 740712 4.77
4935 Chromosome_6 740736 4.41
4939 Chromosome_6 763857 50.98
4940 Chromosome_6 763861 50.98
4951 Chromosome_6 925083 51.71
4952 Chromosome_6 925114 51.71
4953 Chromosome_6 951348 51.71
4959 Chromosome_6 962469 51.71
4964 Chromosome_6 1001840 51.71
4969 Chromosome_6 1163543 51.35
4971 Chromosome_6 1163554 51.35
4972 Chromosome_6 1163555 51.35
4973 Chromosome_6 1163559 50.98
4977 Chromosome_6 1163571 50.98
4979 Chromosome_6 1163575 51.35
4980 Chromosome_6 1163579 51.35
4984 Chromosome_6 1217972 50.98
4987 Chromosome_6 1217981 50.98
4988 Chromosome_6 1217987 51.35
4989 Chromosome_6 1217989 50.98
4991 Chromosome_6 1218030 50.98
4993 Chromosome_6 1218037 50.98
5002 Chromosome_6 1344786 50.62
5011 Chromosome_6 1417880 49.53
5012 Chromosome_6 1417918 49.53
5014 Chromosome_6 1491663 49.89
5016 Chromosome_6 1491692 49.89
5017 Chromosome_6 1491723 49.89
5022 Chromosome_6 1556611 18.01
5025 Chromosome_6 1556644 18.01
5026 Chromosome_6 1609779 48.43
5034 Chromosome_6 1609829 48.43
5067 Chromosome_6 1991152 47.33
5068 Chromosome_6 1991176 47.33
5069 Chromosome_6 1991177 47.33
5070 Chromosome_6 1991189 47.33
5071 Chromosome_6 1991216 47.33
5073 Chromosome_6 2031533 47.33
5078 Chromosome_6 2104774 46.23
5080 Chromosome_6 2104840 46.23
5081 Chromosome_6 2104846 45.87
5083 Chromosome_6 2104864 45.87
5084 Chromosome_6 2104873 45.87
5085 Chromosome_6 2104892 46.23
5086 Chromosome_6 2104909 45.87
5088 Chromosome_6 2104923 45.87
5089 Chromosome_6 2126363 46.23
5090 Chromosome_6 2126388 45.87
5091 Chromosome_6 2126394 45.87
5093 Chromosome_6 2126402 45.87
5096 Chromosome_6 2126422 45.87
5097 Chromosome_6 2148019 46.23
5102 Chromosome_6 2160416 45.87
5118 Chromosome_6 2454714 44.02
5119 Chromosome_6 2541594 43.29
5122 Chromosome_6 2688523 42.20
5129 Chromosome_6 2710562 42.93
5130 Chromosome_6 2710580 42.56
5132 Chromosome_6 2714725 42.20
5145 Chromosome_6 2779564 42.93
5147 Chromosome_6 2795306 43.29
5148 Chromosome_6 2795312 43.29
5155 Chromosome_6 3029777 42.56
5165 Chromosome_6 3145677 42.56
5166 Chromosome_6 3183489 41.47
5167 Chromosome_6 3183506 41.47
5168 Chromosome_6 3183508 41.47
5169 Chromosome_6 3183512 41.47
5170 Chromosome_6 3183513 41.47
5172 Chromosome_6 3183525 41.47
5173 Chromosome_6 3183526 41.47
5174 Chromosome_6 3183529 41.47
5175 Chromosome_6 3183532 41.47
5178 Chromosome_6 3183560 41.47
5208 Chromosome_6 3325422 41.47
5209 Chromosome_6 3325438 41.47
5210 Chromosome_6 3325443 41.47
5211 Chromosome_6 3325451 41.47
5212 Chromosome_6 3325459 41.47
5215 Chromosome_6 3404558 40.00
5216 Chromosome_6 3404574 39.64
5225 Chromosome_6 3724414 36.67
5228 Chromosome_6 3923379 37.03
5229 Chromosome_6 3923388 37.03
5241 Chromosome_6 4204890 41.27
5243 Chromosome_6 4204911 57.21
5244 Chromosome_6 4204913 41.27
5245 Chromosome_6 4204916 68.32
5248 Chromosome_6 4204926 57.21
5251 Chromosome_6 4204938 57.21
5252 Chromosome_6 4204939 57.21
5253 Chromosome_6 4204940 57.21
5254 Chromosome_6 4204942 57.21
5261 Chromosome_6 4204971 68.32
5262 Chromosome_6 4204979 68.32
5265 Chromosome_6 4231501 36.67
5266 Chromosome_6 4231526 36.67
5274 Chromosome_6 4315022 36.67
5275 Chromosome_6 4315025 36.67
5277 Chromosome_6 4315043 36.67
5278 Chromosome_6 4319426 36.67
5283 Chromosome_6 4496861 34.47
5287 Chromosome_6 4668620 33.37
5288 Chromosome_6 4668689 33.37
5290 Chromosome_6 4696712 33.37
5291 Chromosome_6 4696791 33.37
5292 Chromosome_6 4751648 33.01
5293 Chromosome_6 4893112 29.29
5294 Chromosome_6 4893118 29.29
5301 Chromosome_6 4949214 30.02
5302 Chromosome_6 4949218 30.02
5310 Chromosome_6 4978611 28.56
5313 Chromosome_6 4986218 28.56
5315 Chromosome_6 4986243 28.20
5316 Chromosome_6 4986281 28.56
5318 Chromosome_6 5069495 28.56
5319 Chromosome_6 5069497 28.56
5321 Chromosome_6 5082602 28.20
5325 Chromosome_6 5219159 25.99
5326 Chromosome_6 5219171 25.99
5327 Chromosome_6 5219183 25.99
5335 Chromosome_6 5264104 25.99
5345 Chromosome_6 5353669 25.99
5367 Chromosome_6 5573567 24.89
5368 Chromosome_6 5573593 24.53
5369 Chromosome_6 5573631 24.89
5375 Chromosome_6 5579692 24.89
5376 Chromosome_6 5759745 24.89
5378 Chromosome_6 5806506 24.89
5379 Chromosome_6 5806511 24.89
5381 Chromosome_6 5806520 24.89
5382 Chromosome_6 5806524 24.89
5383 Chromosome_6 5806537 24.89
5384 Chromosome_6 5806556 24.89
5386 Chromosome_6 5837499 24.89
5396 Chromosome_6 5914675 24.89
5397 Chromosome_6 5914694 24.89
5399 Chromosome_6 6093953 22.68
5401 Chromosome_6 6106994 17.99
5402 Chromosome_6 6107077 41.32
5406 Chromosome_6 6239311 22.32
5407 Chromosome_6 6239332 22.32
5409 Chromosome_6 6239377 22.32
5419 Chromosome_6 6411614 21.22
5420 Chromosome_6 6411647 21.22
5422 Chromosome_6 6508335 21.22
5423 Chromosome_6 6508341 21.22
5425 Chromosome_6 6508386 21.22
5426 Chromosome_6 6508387 21.22
5447 Chromosome_6 6742095 49.03
5450 Chromosome_6 6742110 49.03
5484 Chromosome_6 7041395 20.12
5485 Chromosome_6 7041416 19.76
5486 Chromosome_6 7041441 19.76
5487 Chromosome_6 7041446 20.12
5506 Chromosome_6 7542103 17.93
5507 Chromosome_6 7542110 17.93
5508 Chromosome_6 7542145 17.93
5510 Chromosome_6 7572715 17.93
5513 Chromosome_6 7799951 17.56
5514 Chromosome_6 7799977 17.56
5528 Chromosome_6 7954435 17.56
5530 Chromosome_6 8041573 17.20
5533 Chromosome_6 8041608 16.84
5534 Chromosome_6 8041611 16.84
5538 Chromosome_6 8214388 16.11
5540 Chromosome_6 8214391 16.11
5541 Chromosome_6 8214402 16.11
5548 Chromosome_6 8241662 16.11
5549 Chromosome_6 8241678 16.11
5552 Chromosome_6 8345433 14.28
5554 Chromosome_6 8345456 19.03
5562 Chromosome_6 8393844 15.38
5564 Chromosome_6 8393866 15.38
5566 Chromosome_6 8493741 15.01
5567 Chromosome_6 8523734 14.65
5569 Chromosome_6 8560418 13.55
5575 Chromosome_6 8874860 12.46
5581 Chromosome_6 9029405 12.46
5583 Chromosome_6 9029438 12.46
5585 Chromosome_6 9050556 12.82
5587 Chromosome_6 9069747 12.46
5589 Chromosome_6 9258958 11.00
5590 Chromosome_6 9258973 11.00
5591 Chromosome_6 9258981 9.91
5592 Chromosome_6 9258985 10.64
5593 Chromosome_6 9258986 10.27
5594 Chromosome_6 9258988 9.91
5595 Chromosome_6 9258991 11.00
5596 Chromosome_6 9258992 10.27
5597 Chromosome_6 9259044 11.36
5598 Chromosome_6 9259050 9.91
5599 Chromosome_6 9270187 11.00
5602 Chromosome_6 9298287 11.36
5604 Chromosome_6 9298315 11.00
5605 Chromosome_6 9298319 11.00
5609 Chromosome_6 9377430 11.00
5610 Chromosome_6 9377460 10.27
5611 Chromosome_6 9377478 10.27
5620 Chromosome_6 9654291 8.44
5621 Chromosome_6 9654306 8.44
5622 Chromosome_6 9654312 8.44
5623 Chromosome_6 9654364 8.44
5627 Chromosome_6 9771287 8.07
5628 Chromosome_6 9771288 8.07
5629 Chromosome_6 9771304 8.07
5633 Chromosome_6 9771371 8.07
5650 Chromosome_6 10183823 25.31
5651 Chromosome_6 10183825 25.31
5653 Chromosome_6 10183869 24.22
5654 Chromosome_6 10183886 24.95
5656 Chromosome_6 10350929 5.47
5657 Chromosome_6 10350952 5.47
5658 Chromosome_6 10350967 5.47
5659 Chromosome_6 10350968 5.47
5666 Chromosome_6 10572245 48.71
5667 Chromosome_6 10572254 4.38
5673 Chromosome_6 10572282 4.38
5674 Chromosome_6 10645135 4.02
5692 Chromosome_6 10874035 3.65
5703 Chromosome_6 10878789 3.65
5704 Chromosome_6 10878879 3.65
5716 Chromosome_6 11424417 3.65
5719 Chromosome_6 11587142 3.29
5720 Chromosome_6 11591629 2.56
5721 Chromosome_6 11591638 2.56
5723 Chromosome_6 11591658 2.56
5725 Chromosome_6 11591683 3.29
5726 Chromosome_6 11591692 2.56
5727 Chromosome_6 11591694 2.56
5728 Chromosome_6 11592144 3.29
5729 Chromosome_6 11592153 3.29
5730 Chromosome_6 11592154 2.93
5733 Chromosome_6 11592221 2.93
5764 Chromosome_6 12136993 1.09
5765 Chromosome_6 12136996 1.09
5766 Chromosome_6 12136998 1.09
5767 Chromosome_6 12137019 1.09
5768 Chromosome_6 12137027 1.09
5771 Chromosome_6 12186704 0.73
5773 Chromosome_6 12194593 0.73
5790 Chromosome_6 12331561 0.73
5791 Chromosome_6 12331567 0.73
5792 Chromosome_6 12331575 0.73
5793 Chromosome_6 12331576 0.73
5794 Chromosome_6 12331590 0.73
5795 Chromosome_6 12331593 0.73
5797 Chromosome_6 12403016 0.36
5798 Chromosome_6 12403025 0.00
5801 Chromosome_6 12403088 0.00
5802 Chromosome_6 12403093 0.00
5805 Chromosome_6 12474792 0.00
5806 Chromosome_6 12519864 0.36
5807 Chromosome_6 12534915 0.00
5808 Chromosome_6 12534916 0.00
5809 Chromosome_6 12534921 0.00
5810 Chromosome_6 12534925 0.36
5811 Chromosome_6 12588302 0.36
5831 Chromosome_7 63204 65.56
5834 Chromosome_7 63257 65.56
5836 Chromosome_7 78192 64.83
5837 Chromosome_7 78201 64.83
5840 Chromosome_7 133460 64.83
5841 Chromosome_7 133462 64.83
5845 Chromosome_7 341852 64.10
5847 Chromosome_7 341865 64.10
5849 Chromosome_7 518335 64.10
5850 Chromosome_7 518355 64.10
5852 Chromosome_7 696826 63.74
5853 Chromosome_7 696830 63.38
5854 Chromosome_7 696850 63.38
5855 Chromosome_7 696866 63.74
5857 Chromosome_7 696872 63.74
5858 Chromosome_7 696878 63.74
5859 Chromosome_7 696902 63.38
5860 Chromosome_7 698735 63.38
5872 Chromosome_7 856941 63.74
5873 Chromosome_7 856948 63.74
5874 Chromosome_7 856954 63.74
5876 Chromosome_7 996868 63.74
5878 Chromosome_7 1031652 63.74
5888 Chromosome_7 1171276 62.65
5890 Chromosome_7 1171288 62.65
5891 Chromosome_7 1171290 62.65
5894 Chromosome_7 1188915 62.65
5896 Chromosome_7 1195316 62.65
5899 Chromosome_7 1204254 62.65
5900 Chromosome_7 1204327 62.65
5902 Chromosome_7 1331648 61.55
5933 Chromosome_7 1858991 57.00
5942 Chromosome_7 1978632 56.27
5943 Chromosome_7 1978639 56.27
5944 Chromosome_7 1978644 56.27
5948 Chromosome_7 2061676 55.90
5949 Chromosome_7 2061678 55.90
5954 Chromosome_7 2618589 55.54
5965 Chromosome_7 2687800 55.18
5966 Chromosome_7 2695947 55.18
5975 Chromosome_7 2949302 54.08
5976 Chromosome_7 2949307 54.08
5979 Chromosome_7 3005957 53.35
5982 Chromosome_7 3026921 52.62
5984 Chromosome_7 3079708 51.89
5985 Chromosome_7 3079713 51.89
5986 Chromosome_7 3079718 51.89
5987 Chromosome_7 3079723 51.89
5988 Chromosome_7 3079750 51.89
5989 Chromosome_7 3079759 51.89
5990 Chromosome_7 3079796 51.89
5991 Chromosome_7 3079799 51.89
5992 Chromosome_7 3079800 51.89
5996 Chromosome_7 3275321 8.99
5997 Chromosome_7 3275322 50.05
5999 Chromosome_7 3275333 8.99
6000 Chromosome_7 3275353 50.05
6001 Chromosome_7 3275378 8.99
6018 Chromosome_7 3532243 48.58
6024 Chromosome_7 3692609 47.11
6026 Chromosome_7 3692671 47.11
6034 Chromosome_7 3841633 46.75
6042 Chromosome_7 3879405 46.75
6046 Chromosome_7 3909356 46.39
6051 Chromosome_7 3909417 46.75
6056 Chromosome_7 3914025 46.75
6057 Chromosome_7 3914047 46.75
6065 Chromosome_7 3947919 46.75
6070 Chromosome_7 3978435 46.39
6075 Chromosome_7 4096150 46.39
6083 Chromosome_7 4125406 46.75
6084 Chromosome_7 4130044 46.75
6085 Chromosome_7 4130062 46.39
6086 Chromosome_7 4130071 46.39
6087 Chromosome_7 4130074 46.39
6088 Chromosome_7 4130092 46.75
6089 Chromosome_7 4171486 46.75
6093 Chromosome_7 4220387 46.75
6097 Chromosome_7 4297594 46.02
6098 Chromosome_7 4297669 46.02
6099 Chromosome_7 4297670 46.02
6100 Chromosome_7 4309010 46.02
6101 Chromosome_7 4350965 45.66
6103 Chromosome_7 4436739 45.66
6107 Chromosome_7 4472449 44.93
6115 Chromosome_7 4534875 44.93
6116 Chromosome_7 4534904 44.93
6117 Chromosome_7 4534917 44.93
6129 Chromosome_7 4665057 43.83
6135 Chromosome_7 4815513 42.36
6140 Chromosome_7 4815538 42.36
6141 Chromosome_7 4815576 42.36
6142 Chromosome_7 4815590 42.36
6165 Chromosome_7 4964325 41.99
6174 Chromosome_7 4979678 41.63
6175 Chromosome_7 4998037 52.31
6178 Chromosome_7 4998068 41.63
6179 Chromosome_7 4998115 52.31
6181 Chromosome_7 5109355 41.63
6182 Chromosome_7 5109381 41.99
6184 Chromosome_7 5134888 41.27
6185 Chromosome_7 5134894 41.27
6186 Chromosome_7 5134954 41.27
6188 Chromosome_7 5214743 41.27
6189 Chromosome_7 5214751 41.27
6190 Chromosome_7 5214755 41.27
6192 Chromosome_7 5231505 41.27
6193 Chromosome_7 5231524 41.27
6194 Chromosome_7 5248727 41.27
6207 Chromosome_7 5547298 37.92
6211 Chromosome_7 5547357 37.92
6212 Chromosome_7 5547359 37.92
6214 Chromosome_7 5584120 38.28
6229 Chromosome_7 5647575 38.28
6230 Chromosome_7 5647631 38.28
6238 Chromosome_7 5875240 33.43
6251 Chromosome_7 6025642 32.70
6253 Chromosome_7 6025664 32.70
6263 Chromosome_7 6217827 32.33
6268 Chromosome_7 6238624 32.33
6270 Chromosome_7 6268358 31.97
6271 Chromosome_7 6268370 31.97
6281 Chromosome_7 6296731 31.97
6284 Chromosome_7 6296804 31.97
6285 Chromosome_7 6296805 31.97
6287 Chromosome_7 6296814 31.97
6293 Chromosome_7 6403149 31.97
6298 Chromosome_7 6403224 31.97
6318 Chromosome_7 6620232 30.88
6322 Chromosome_7 6663595 30.88
6323 Chromosome_7 6663597 30.88
6324 Chromosome_7 6663600 30.88
6325 Chromosome_7 6663613 30.88
6327 Chromosome_7 6663631 30.88
6338 Chromosome_7 6682550 30.88
6339 Chromosome_7 6682560 30.88
6340 Chromosome_7 6682591 30.88
6341 Chromosome_7 6682608 30.88
6342 Chromosome_7 6707937 31.24
6347 Chromosome_7 6746175 30.88
6351 Chromosome_7 6746236 30.88
6358 Chromosome_7 6830536 30.88
6365 Chromosome_7 6936231 30.88
6374 Chromosome_7 7275993 28.29
6378 Chromosome_7 7398339 27.93
6379 Chromosome_7 7398369 27.93
6388 Chromosome_7 7528950 27.93
6389 Chromosome_7 7547227 27.93
6397 Chromosome_7 7600414 27.56
6402 Chromosome_7 7704988 27.56
6404 Chromosome_7 7705004 27.56
6420 Chromosome_7 7859357 27.56
6435 Chromosome_7 7922521 27.56
6436 Chromosome_7 7927285 27.56
6438 Chromosome_7 7952274 26.46
6440 Chromosome_7 7987410 25.73
6441 Chromosome_7 7987416 25.37
6442 Chromosome_7 7987426 25.37
6443 Chromosome_7 7987431 25.37
6444 Chromosome_7 7987436 25.37
6445 Chromosome_7 7987474 25.73
6446 Chromosome_7 7987476 25.73
6447 Chromosome_7 7987479 25.37
6448 Chromosome_7 7987496 25.37
6460 Chromosome_7 8210757 22.05
6461 Chromosome_7 8210810 22.05
6463 Chromosome_7 8222460 22.05
6464 Chromosome_7 8222472 22.05
6467 Chromosome_7 8316877 22.05
6469 Chromosome_7 8327655 22.05
6471 Chromosome_7 8348812 21.69
6472 Chromosome_7 8348818 21.69
6473 Chromosome_7 8378318 21.69
6475 Chromosome_7 8378333 21.69
6476 Chromosome_7 8418109 19.47
6477 Chromosome_7 8418151 19.47
6478 Chromosome_7 8421399 19.47
6480 Chromosome_7 8421417 19.47
6481 Chromosome_7 8421427 19.47
6482 Chromosome_7 8421436 19.47
6485 Chromosome_7 8462752 19.47
6487 Chromosome_7 8464076 19.47
6491 Chromosome_7 8464138 19.47
6496 Chromosome_7 8581041 18.37
6518 Chromosome_7 9082472 16.15
6528 Chromosome_7 9357626 15.42
6530 Chromosome_7 9357684 15.78
6551 Chromosome_7 9642663 14.69
6552 Chromosome_7 9642701 14.69
6558 Chromosome_7 9828358 15.06
6576 Chromosome_7 9891797 61.43
6589 Chromosome_7 9895397 15.06
6590 Chromosome_7 9895406 15.06
6591 Chromosome_7 9895407 15.06
6592 Chromosome_7 9895409 15.06
6593 Chromosome_7 9895410 14.69
6595 Chromosome_7 9895419 15.06
6620 Chromosome_7 10331797 12.47
6621 Chromosome_7 10331808 12.47
6622 Chromosome_7 10331818 12.47
6623 Chromosome_7 10331822 12.47
6624 Chromosome_7 10331824 12.47
6644 Chromosome_7 11075079 10.63
6647 Chromosome_7 11078138 9.90
6651 Chromosome_7 11097378 10.63
6652 Chromosome_7 11097421 11.00
6653 Chromosome_7 11097428 11.00
6654 Chromosome_7 11097430 11.00
6657 Chromosome_7 11158566 10.63
6670 Chromosome_7 11272507 6.57
6671 Chromosome_7 11272518 6.94
6672 Chromosome_7 11272536 6.57
6675 Chromosome_7 11272561 7.30
6687 Chromosome_7 11479299 6.94
6688 Chromosome_7 11479309 6.94
6694 Chromosome_7 11649728 5.84
6703 Chromosome_7 11809171 0.36
6705 Chromosome_7 11809178 0.36
6711 Chromosome_7 11809212 0.36
6716 Chromosome_7 11970341 5.48
6720 Chromosome_7 11993021 5.48
6721 Chromosome_7 11993027 5.48
6722 Chromosome_7 11993029 5.48
6724 Chromosome_7 11993036 5.48
6727 Chromosome_7 12144309 5.48
6728 Chromosome_7 12144329 5.48
6730 Chromosome_7 12180847 4.39
6731 Chromosome_7 12180905 4.39
6736 Chromosome_7 12195961 4.75
6737 Chromosome_7 12195981 4.39
6738 Chromosome_7 12195984 4.39
6740 Chromosome_7 12196011 4.39
6747 Chromosome_7 12348525 33.43
6748 Chromosome_7 12348529 4.39
6749 Chromosome_7 12348532 33.43
6750 Chromosome_7 12348536 4.39
6758 Chromosome_7 12348561 33.43
6761 Chromosome_7 12372465 4.39
6763 Chromosome_7 12373632 4.39
6764 Chromosome_7 12373635 4.39
6765 Chromosome_7 12373647 4.39
6766 Chromosome_7 12373655 4.75
6778 Chromosome_7 12509884 3.29
6787 Chromosome_7 12880740 1.83
6790 Chromosome_7 12880782 1.46
6792 Chromosome_7 12890823 1.83
6794 Chromosome_7 12890843 1.83
6795 Chromosome_7 12890847 1.83
6796 Chromosome_7 12890876 2.19
6797 Chromosome_7 12890914 2.19
6801 Chromosome_7 12931038 1.83
6802 Chromosome_7 12936282 2.19
6809 Chromosome_7 13178311 0.36
6815 Chromosome_7 13200834 0.36
6817 Chromosome_7 13200854 0.36
6818 Chromosome_7 13200873 0.00
6819 Chromosome_7 13233965 0.00
6829 Chromosome_7 13445309 0.00
6833 Chromosome_7 13445334 0.00
6837 Chromosome_7 13518461 0.36
6848 Chromosome_7 13526369 0.00
6850 Chromosome_7 13526390 0.00
6855 Chromosome_7 13545552 0.00
6858 Chromosome_7 13746415 0.00
6859 Chromosome_7 13755182 0.36
6860 Chromosome_7 13755234 0.00
6861 Chromosome_7 13755254 0.36
6882 Chromosome_8 8421 64.35
6883 Chromosome_8 8427 64.35
6886 Chromosome_8 8455 64.71
6887 Chromosome_8 8478 64.35
6890 Chromosome_8 106923 65.08
6891 Chromosome_8 155117 65.08
6892 Chromosome_8 155131 65.44
6893 Chromosome_8 155698 65.08
6894 Chromosome_8 155750 65.08
6895 Chromosome_8 161995 65.44
6896 Chromosome_8 162045 65.44
6899 Chromosome_8 171934 65.44
6900 Chromosome_8 225265 65.08
6901 Chromosome_8 225295 65.08
6902 Chromosome_8 225322 65.08
6930 Chromosome_8 403028 64.35
6933 Chromosome_8 470261 64.71
6936 Chromosome_8 470533 64.71
6937 Chromosome_8 470552 64.71
6940 Chromosome_8 654374 64.71
6941 Chromosome_8 654446 65.44
6942 Chromosome_8 716958 7.74
6943 Chromosome_8 717006 7.37
6950 Chromosome_8 1043619 63.99
6951 Chromosome_8 1043646 63.99
6952 Chromosome_8 1194661 63.99
6953 Chromosome_8 1194665 63.99
6954 Chromosome_8 1194678 63.99
6955 Chromosome_8 1194683 63.99
6956 Chromosome_8 1194689 63.99
6962 Chromosome_8 1203928 63.99
6963 Chromosome_8 1203931 63.99
6967 Chromosome_8 1203970 63.99
6971 Chromosome_8 1298583 63.62
6972 Chromosome_8 1298672 63.62
6973 Chromosome_8 1366794 63.62
6987 Chromosome_8 1548530 63.26
6988 Chromosome_8 1548532 63.26
6993 Chromosome_8 1548570 63.26
6994 Chromosome_8 1548578 63.26
6995 Chromosome_8 1548579 63.26
6997 Chromosome_8 1548594 63.26
7000 Chromosome_8 1568160 63.26
7002 Chromosome_8 1568188 63.26
7010 Chromosome_8 1669732 63.26
7012 Chromosome_8 1669792 63.26
7013 Chromosome_8 1673034 63.26
7015 Chromosome_8 1673040 63.26
7016 Chromosome_8 1673054 63.26
7019 Chromosome_8 1673063 63.26
7022 Chromosome_8 1673087 63.26
7037 Chromosome_8 2066698 31.94
7038 Chromosome_8 2066723 31.94
7039 Chromosome_8 2066747 31.94
7043 Chromosome_8 2170310 61.79
7045 Chromosome_8 2170331 61.79
7046 Chromosome_8 2170334 61.79
7059 Chromosome_8 2440740 61.06
7067 Chromosome_8 2532065 59.97
7073 Chromosome_8 2607806 60.33
7085 Chromosome_8 2723911 60.33
7086 Chromosome_8 2723940 60.33
7094 Chromosome_8 2756889 59.97
7095 Chromosome_8 2756924 59.97
7096 Chromosome_8 2951089 58.87
7097 Chromosome_8 2951107 58.51
7098 Chromosome_8 2951113 58.51
7102 Chromosome_8 2986546 58.51
7112 Chromosome_8 3120896 57.78
7116 Chromosome_8 3160568 57.78
7117 Chromosome_8 3160571 57.78
7120 Chromosome_8 3160616 57.78
7121 Chromosome_8 3160628 57.78
7140 Chromosome_8 3518064 57.05
7141 Chromosome_8 3518065 57.05
7142 Chromosome_8 3518073 57.05
7144 Chromosome_8 3518108 57.05
7145 Chromosome_8 3518112 57.05
7147 Chromosome_8 3518145 57.05
7149 Chromosome_8 3553981 57.05
7151 Chromosome_8 3557160 57.05
7152 Chromosome_8 3557222 57.05
7153 Chromosome_8 3557234 57.05
7163 Chromosome_8 3688052 56.68
7165 Chromosome_8 3688085 56.68
7170 Chromosome_8 3708707 55.95
7173 Chromosome_8 3789671 55.95
7179 Chromosome_8 3838836 55.95
7180 Chromosome_8 3838862 55.95
7184 Chromosome_8 3838890 55.95
7185 Chromosome_8 3838895 55.95
7200 Chromosome_8 4040552 53.73
7201 Chromosome_8 4040560 53.73
7202 Chromosome_8 4040596 53.73
7203 Chromosome_8 4040609 53.73
7204 Chromosome_8 4099049 53.73
7205 Chromosome_8 4099081 53.73
7206 Chromosome_8 4099084 53.73
7207 Chromosome_8 4099089 53.73
7208 Chromosome_8 4099090 53.73
7211 Chromosome_8 4251080 53.37
7212 Chromosome_8 4251125 53.73
7213 Chromosome_8 4286195 53.73
7215 Chromosome_8 4451060 53.37
7224 Chromosome_8 4563116 51.52
7225 Chromosome_8 4563123 51.52
7233 Chromosome_8 4883303 51.16
